Date	LogBook ID	IDs
1868-01-04	Atlantic (bark) 1865-1868	[14073, 14072]
1837-10-16	General Jackson (ship) 1836-1839	[86105, 86104]
1847-03-30	Splendid (Ship) 1846-1849	[46265, 46264]
1848-04-25	Splendid (Ship) 1846-1849	[46950, 46949]
1842-09-26	American (Ship) 1841-1845	[106240, 106237]
1844-01-27	Blackstone (Bark) 1843-1845	[38918, 38915]
1845-02-03	Hibernia (Ship) 1844-1846	[24046, 24045]
1855-10-14	Rodman (Bark) 1855-1859	[118531, 118529]
1865-10-24	Java (Bark) 1864-1867	[68943, 68941]
1866-10-22	Java (Bark) 1864-1867	[71557, 71556]
1838-01-04	Mary Mitchell (ship) 1835-1838	[54985, 54984]
1848-09-18	Splendid (Ship) 1846-1849	[47151, 47150]
1865-06-03	Lancer (Ship) 1865-1868	[95380, 95379]
1867-01-14	Lancer (Ship) 1865-1868	[99899, 99898]
1842-12-10	Mercator (Ship) 1840-1843	[123630, 123629]

